Bloom Ticker,Default,Money Control,Screener
ABREL IN EQUITY,Aditya Birla Real Estate Limited,Aditya Birla Re,A B Real Estate
ARTD IN EQUITY,Aarti Drugs,Aarti Drugs,Aarti Drugs
ARTO IN EQUITY,Aarti Industries Ltd,Aarti Ind,Aarti Industries
ABCAP IN EQUITY,Aditya Birla Capital Ltd,AB Capital,Aditya Birla Cap
AGAR IN EQUITY,Agarwal Industrial Corporation Ltd,Agarwal Ind,Agarwal Indl.
ALIVUS IN EQUITY,Alivus Life Sciences Ltd.,Alivus Life,Alivus Life
ARENM IN EQUITY,Amara Raja Energy & Mobility Ltd,Amara Raja,Amara Raja Ener.
ACML IN EQUITY,Ambika Cotton Mills Limited,Ambika Cotton,Ambika Cotton
ANGELONE IN EQUITY,Angel One Ltd,Angel One,Angel One
APR IN EQUITY,APAR Industries Ltd.,Apar Ind,Apar Inds.
PARKHOTE IN EQUITY,Apeejay Surrendra Park Hotels Limited,Apeejay Park,Apeejay Surrend.
ARVINDFA IN EQUITY,Arvind Fashions Ltd,AFL,Arvind Fashions.
ARVSMART IN EQUITY,Arvind Smartspaces Limited,Arvind Smart,Arvind SmartSp.
ASIAN IN EQUITY,Asian Granito India Limited,Asian Granito,Asian Granito
ATAM IN EQUITY,Atam Valves Limited,Atam Valves,Atam Valves
AVALON IN EQUITY,Avalon Technologies Limited,Avalon Tech,Avalon Tech
AWFIS IN EQUITY,Awfis Space Solutions Limited,Awfis Space Sol,AWFIS Space
AXSB IN EQUITY,Axis Bank,Axis Bank,Axis Bank
STYLEBAA IN EQUITY,Baazar Style Retail Limited,Baazar Style,Baazar Style
BIOS IN EQUITY,Biocon Ltd,Biocon,Biocon
BCORP IN EQUITY,Birla Corporation Ltd,Birla Corp,Birla Corpn.
BSOFT IN EQUITY,BirlaSoft,Birlasoft,Birlasoft Ltd
BLSIN IN EQUITY,BLS International Services Ltd,BLS Internation,BLS Internat.
BSE IN EQUITY,BSE Limited,BSE Limited,BSE
CAMS IN EQUITY,COMPUTER AGE MANAGEMENT SERVICES LIMITED,CAMS,Cams Services
CEAT IN EQUITY,Ceat Limited,Ceat,CEAT
CIEINDIA IN EQUITY,CIE Automotive India Limited,CIEINDIA,CIE Automotive
KKC IN EQUITY,Cummins India Ltd,Cummins,Cummins India
DAMCAPIT IN EQUITY,DAM CAPITAL ADVISORS LIMITED,DAM Capital Adv,Dam Capital Advi
DCW IN EQUITY,DCW Limited,DCW,DCW
EDEL IN EQUITY,Edelweiss Financial Services Ltd,Edelweiss,Edelweiss.Fin.
ELCN IN EQUITY,Elecon Engineering Co.Limited,Elecon Eng,Elecon Engg.Co
ELIN IN EQUITY,Elin Electronics Limited,Elin Electronic,Elin Electronics
HMN IN EQUITY,Emami Ltd,Emami,Emami
EMSLIMIT IN EQUITY,EMS LIMITED,EMS,EMS
ENGR IN EQUITY,Engineers India Limited,Engineers India,Engineers India
EIEL IN EQUITY,ENVIRO INFRA ENGINEERS LIMITED,Enviro Infra,Enviro Infra
FLAIR IN EQUITY,Flair Writing Industries Limited,Flair Writing,Flair Writing
FUSION IN EQUITY,Fusion Finance Limited,Fusion Finance,Fusion Finance
GMBR IN EQUITY,G.M.BREWERIES Limited,GM Breweries,G M Breweries
GALSURF IN EQUITY,Galaxy Surfactants Limited,Galaxy Surfacta,Galaxy Surfact.
GRASIM IN EQUITY,Grasim Industries Ltd,Grasim,Grasim Inds
GRAV IN EQUITY,Gravita India Ltd,Gravita India,Gravita India
GAEX IN EQUITY,Gujarat Ambuja Exports,Guj Amb Exports,Guj. Ambuja Exp
HARIOMPI IN EQUITY,HARIOM PIPE INDUSTRIES LIMITED,Hariom Pipe,Hariom Pipe
HARSHA IN EQUITY,Harsha Engineering,Harsha Engineer,Harsha Engg Intl
HDFCB IN EQUITY,HDFC Bank Ltd,HDFC Bank,HDFC Bank
HMCL IN EQUITY,Hero Motocorp Ltd,Hero Motocorp,Hero Motocorp
HSCH IN EQUITY,Himadri Speciality Chemical Ltd,Himadri Special,Himadri Special
HNDFDS IN EQUITY,HINDUSTAN FOODS LTD,Hindustan Foods,Hindustan Foods
HOMEFIRS IN EQUITY,Home First Finance Company India Limited,Home First,Home First Finan
IIFLCAPS IN EQUITY,IIFL Capital Services Limited,IIFL Capital ,IIFL Capital
IIFL IN EQUITY,IIFL Finance Ltd,IIFL Finance,IIFL Finance
IIB IN EQUITY,Indusind Bank Ltd,IndusInd Bank,IndusInd Bank
INTERARC IN EQUITY,Interarch Building Products Limited,Interarch Build,Interarch Build.
INDIGO IN EQUITY,InterGlobe Aviation Ltd,Interglobe Avi,Interglobe Aviat
