Bloom Ticker,Default
RELIANCE IN EQUITY,Reliance Industries Ltd
HDFCB IN EQUITY,HDFC Bank Ltd
BHARTI IN EQUITY,Bharti Airtel Ltd
TCS IN EQUITY,Tata Consultancy Services Ltd
ICICIBC IN EQUITY,ICICI Bank Ltd
SBIN IN EQUITY,State Bank of India
INFO IN EQUITY,Infosys Ltd
HUVR IN EQUITY,Hindustan Unilever Ltd
LICI IN EQUITY,Life Insurance Corp of India
BAF IN EQUITY,Bajaj Finance Ltd
ITC IN EQUITY,ITC Ltd
LT IN EQUITY,Larsen & Toubro Ltd
SUNP IN EQUITY,Sun Pharmaceutical Industries Ltd
MM IN EQUITY,Mahindra & Mahindra Ltd
HCLT IN EQUITY,HCL Technologies Ltd
KMB IN EQUITY,Kotak Mahindra Bank Ltd
MSIL IN EQUITY,Maruti Suzuki India Ltd
UTCEM IN EQUITY,UltraTech Cement Ltd
AXSB IN EQUITY,Axis Bank Ltd
NTPC IN EQUITY,NTPC Ltd
BJFIN IN EQUITY,Bajaj Finserv Ltd
ONGC IN EQUITY,Oil & Natural Gas Corp Ltd
HNAL IN EQUITY,Hindustan Aeronautics Ltd
TTAN IN EQUITY,Titan Co Ltd
ADSEZ IN EQUITY,Adani Ports & Special Economic Zone Ltd
ETERNAL IN EQUITY,Eternal Ltd
ADE IN EQUITY,Adani Enterprises Ltd
BHE IN EQUITY,Bharat Electronics Ltd
PWGR IN EQUITY,Power Grid Corp of India Ltd
WPRO IN EQUITY,Wipro Ltd
DMART IN EQUITY,Avenue Supermarts Ltd
JSTL IN EQUITY,JSW Steel Ltd
TTMT IN EQUITY,Tata Motors Ltd
COAL IN EQUITY,Coal India Ltd
APNT IN EQUITY,Asian Paints Ltd
BJAUT IN EQUITY,Bajaj Auto Ltd
INDIGO IN EQUITY,InterGlobe Aviation Ltd
ADANI IN EQUITY,Adani Power Ltd
NEST IN EQUITY,Nestle India Ltd
IOCL IN EQUITY,Indian Oil Corp Ltd
TATA IN EQUITY,Tata Steel Ltd
JIOFIN IN EQUITY,Jio Financial Services Ltd
DLFU IN EQUITY,DLF Ltd
GRASIM IN EQUITY,Grasim Industries Ltd
SBILIFE IN EQUITY,SBI Life Insurance Co Ltd
HZ IN EQUITY,Hindustan Zinc Ltd
TRENT IN EQUITY,Trent Ltd
DIVI IN EQUITY,Divi's Laboratories Ltd
VEDL IN EQUITY,Vedanta Ltd
IRFC IN EQUITY,Indian Railway Finance Corp Ltd
HYUNDAI IN EQUITY,Hyundai Motor India Ltd
VBL IN EQUITY,Varun Beverages Ltd
HDFCLIFE IN EQUITY,HDFC Life Insurance Co Ltd
ADANIGR IN EQUITY,Adani Green Energy Ltd
HNDL IN EQUITY,Hindalco Industries Ltd
BJHI IN EQUITY,Bajaj Holdings & Investment Ltd
ACEM IN EQUITY,Ambuja Cements Ltd
LTIM IN EQUITY,LTIMindtree Ltd
EIM IN EQUITY,Eicher Motors Ltd
PIDI IN EQUITY,Pidilite Industries Ltd
BPCL IN EQUITY,Bharat Petroleum Corp Ltd
TECHM IN EQUITY,Tech Mahindra Ltd
BRIT IN EQUITY,Britannia Industries Ltd
POWF IN EQUITY,Power Finance Corp Ltd
TVSL IN EQUITY,TVS Motor Co Ltd
SOIL IN EQUITY,Solar Industries India Ltd
TPWR IN EQUITY,Tata Power Co Ltd/The
CIPLA IN EQUITY,Cipla Ltd/India
CIFC IN EQUITY,Cholamandalam Investment and Finance Co Ltd
GCPL IN EQUITY,Godrej Consumer Products Ltd
BOB IN EQUITY,Bank of Baroda
PNB IN EQUITY,Punjab National Bank
TRP IN EQUITY,Torrent Pharmaceuticals Ltd
MAXHEALT IN EQUITY,Max Healthcare Institute Ltd
LODHA IN EQUITY,Lodha Developers Ltd
SHFL IN EQUITY,Shriram Finance Ltd
HDFCAMC IN EQUITY,HDFC Asset Management Co Ltd
GAIL IN EQUITY,GAIL India Ltd
ABB IN EQUITY,ABB India Ltd
BOS IN EQUITY,Bosch Ltd
MAZDOCKS IN EQUITY,Mazagon Dock Shipbuilders Ltd
SRCM IN EQUITY,Shree Cement Ltd
SIEM IN EQUITY,Siemens Ltd
MOTHERSO IN EQUITY,Samvardhana Motherson International Ltd
ENRIN IN EQUITY,Siemens Energy India Ltd
DRRD IN EQUITY,Dr Reddy's Laboratories Ltd
MUTH IN EQUITY,Muthoot Finance Ltd
IH IN EQUITY,Indian Hotels Co Ltd/The
APHS IN EQUITY,Apollo Hospitals Enterprise Ltd
MANKIND IN EQUITY,Mankind Pharma Ltd
TATACONS IN EQUITY,Tata Consumer Products Ltd
CGPOWER IN EQUITY,CG Power & Industrial Solutions Ltd
RECL IN EQUITY,REC Ltd
POLYCAB IN EQUITY,Polycab India Ltd
UNBK IN EQUITY,Union Bank of India Ltd
SWIGGY IN EQUITY,Swiggy Ltd
INDUSTOW IN EQUITY,Indus Towers Ltd
DIXON IN EQUITY,Dixon Technologies India Ltd
CBK IN EQUITY,Canara Bank
JSP IN EQUITY,Jindal Steel & Power Ltd
BSE IN EQUITY,BSE Ltd
IDBI IN EQUITY,IDBI Bank Ltd
ZYDUSLIF IN EQUITY,Zydus Lifesciences Ltd
ADANIENS IN EQUITY,Adani Energy Solutions Ltd
KKC IN EQUITY,Cummins India Ltd
BAJAJHFL IN EQUITY,Bajaj Housing Finance Ltd
UNITDSPR IN EQUITY,United Spirits Ltd
GMRAIRPO IN EQUITY,GMR Airports Ltd
ICICIGI IN EQUITY,ICICI Lombard General Insurance Co Ltd
HAVL IN EQUITY,Havells India Ltd
DABUR IN EQUITY,Dabur India Ltd
INFOE IN EQUITY,Info Edge India Ltd
JSW IN EQUITY,JSW Energy Ltd
SRF IN EQUITY,SRF Ltd
MRCO IN EQUITY,Marico Ltd
NTPCGREE IN EQUITY,NTPC Green Energy Ltd
HPCL IN EQUITY,Hindustan Petroleum Corp Ltd
LPC IN EQUITY,Lupin Ltd
WAAREEEN IN EQUITY,WAAREE Energies Ltd
IPRU IN EQUITY,ICICI Prudential Life Insurance Co Ltd
BHARTIHE IN EQUITY,Bharti Hexacom Ltd
HMCL IN EQUITY,Hero MotoCorp Ltd
INBK IN EQUITY,Indian Bank
POWERIND IN EQUITY,Hitachi Energy India Ltd
NHPC IN EQUITY,NHPC Ltd
SUEL IN EQUITY,Suzlon Energy Ltd
BHEL IN EQUITY,Bharat Heavy Electricals Ltd
POLICYBZ IN EQUITY,PB Fintech Ltd
PSYS IN EQUITY,Persistent Systems Ltd
SBICARD IN EQUITY,SBI Cards & Payment Services Ltd
IDEA IN EQUITY,Vodafone Idea Ltd
LLOYDSME IN EQUITY,Lloyds Metals & Energy Ltd
OFSS IN EQUITY,Oracle Financial Services Software Ltd
RVNL IN EQUITY,Rail Vikas Nigam Ltd
IOB IN EQUITY,Indian Overseas Bank
AL IN EQUITY,Ashok Leyland Ltd
CRIN IN EQUITY,Coromandel International Ltd
BOOT IN EQUITY,Abbott India Ltd
PAYTM IN EQUITY,One 97 Communications Ltd
PEPL IN EQUITY,Prestige Estates Projects Ltd
OINL IN EQUITY,Oil India Ltd
ATGL IN EQUITY,Adani Total Gas Ltd
PATANJAL IN EQUITY,Patanjali Foods Ltd
TPW IN EQUITY,Torrent Power Ltd
ABCAP IN EQUITY,Aditya Birla Capital Ltd
ARBP IN EQUITY,Aurobindo Pharma Ltd
BRGR IN EQUITY,Berger Paints India Ltd
GICRE IN EQUITY,General Insurance Corp of India
JSWINFRA IN EQUITY,JSW Infrastructure Ltd
FORH IN EQUITY,Fortis Healthcare Ltd
GPL IN EQUITY,Godrej Properties Ltd
SCHFL IN EQUITY,Schaeffler India Ltd
MRF IN EQUITY,MRF Ltd
IIB IN EQUITY,IndusInd Bank Ltd
NMDC IN EQUITY,NMDC Ltd
PI IN EQUITY,PI Industries Ltd
HDBFS IN EQUITY,HDB Financial Services Ltd
VMM IN EQUITY,Vishal Mega Mart Ltd
KALYANKJ IN EQUITY,Kalyan Jewellers India Ltd
GVTD IN EQUITY,GE Vernova T&D India Ltd
UNOMINDA IN EQUITY,UNO Minda Ltd
YES IN EQUITY,Yes Bank Ltd
GNP IN EQUITY,Glenmark Pharmaceuticals Ltd
ALKEM IN EQUITY,Alkem Laboratories Ltd
FCT IN EQUITY,Fertilisers & Chemicals Travancore Ltd
CLGT IN EQUITY,Colgate-Palmolive India Ltd
UPLL IN EQUITY,UPL Ltd
NYKAA IN EQUITY,FSN E-Commerce Ventures Ltd
BDL IN EQUITY,Bharat Dynamics Ltd
OBER IN EQUITY,Oberoi Realty Ltd
IRCTC IN EQUITY,Indian Railway Catering & Tourism Corp Ltd
COFORGE IN EQUITY,Coforge Ltd
BHFC IN EQUITY,Bharat Forge Ltd
LIIL IN EQUITY,Linde India Ltd
TIINDIA IN EQUITY,Tube Investments of India Ltd
SI IN EQUITY,Supreme Industries Ltd
SUF IN EQUITY,Sundaram Finance Ltd
JDSL IN EQUITY,Jindal Stainless Ltd
AUBANK IN EQUITY,AU Small Finance Bank Ltd
PHNX IN EQUITY,Phoenix Mills Ltd/The
MOFS IN EQUITY,Motilal Oswal Financial Services Ltd
UBBL IN EQUITY,United Breweries Ltd
